name,features,passed,score,failed_checks,tokens,actual_cost,project_path
b2b_sales_forecast_copilot,"agent_tool_cost,tool_policy_approval",True,99,,7036,0.001835,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/01_b2b_sales_forecast_copilot
b2b_revenue_ops_pipeline_agent,"team_sequential,memory_isolation",True,99,,23642,0.006648,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/02_b2b_revenue_ops_pipeline_agent
b2b_customer_success_health_monitor,"workflow_dag,observability_trace",True,99,,25011,0.006187,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/03_b2b_customer_success_health_monitor
b2b_vendor_risk_assessment_agent,"rag_citations,guardrails_pii",True,99,,13757,0.003853,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/04_b2b_vendor_risk_assessment_agent
b2b_procurement_contract_triage,"orchestrator_router,team_parallel",True,99,,6437,0.001608,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/05_b2b_procurement_contract_triage
b2b_invoice_reconciliation_agent,"typed_decorator_api,memory_isolation",True,99,,12706,0.003479,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/06_b2b_invoice_reconciliation_agent
b2b_accounts_receivable_collections_agent,"orchestrator_map_reduce,agent_tool_cost",True,99,,6930,0.001837,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/07_b2b_accounts_receivable_collections_agent
b2b_compliance_evidence_mapper,"rag_citations,memory_isolation",True,99,,6067,0.001434,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/08_b2b_compliance_evidence_mapper
b2b_incident_response_war_room,"workflow_dag,rag_citations",True,99,,7214,0.002037,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/09_b2b_incident_response_war_room
b2b_enterprise_knowledge_support_copilot,"guardrails_pii,observability_trace",True,99,,7229,0.002013,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/10_b2b_enterprise_knowledge_support_copilot
b2b_field_service_dispatch_optimizer,"team_parallel,tool_policy_approval",True,99,,7933,0.002447,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/11_b2b_field_service_dispatch_optimizer
b2b_qa_regression_planner_agent,"typed_decorator_api,workflow_dag",True,99,,10380,0.002296,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/12_b2b_qa_regression_planner_agent
b2b_cloud_cost_anomaly_assistant,"agent_tool_cost,guardrails_pii",True,99,,7408,0.002143,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/13_b2b_cloud_cost_anomaly_assistant
b2b_sales_call_coaching_agent,"orchestrator_router,memory_isolation",True,99,,25529,0.006529,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/14_b2b_sales_call_coaching_agent
b2b_renewal_churn_forecaster,"orchestrator_map_reduce,team_sequential",True,99,,7128,0.002077,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-b2b-agentic24-final02/projects/15_b2b_renewal_churn_forecaster
