name,features,passed,score,failed_checks,tokens,actual_cost,project_path
support_ticket_automation_api,"agent_tool_cost,tool_policy_approval",True,99,,9966,0.001976,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/01_support_ticket_automation_api
simple_crm,"team_sequential,memory_isolation",True,100,,16019,0.00384,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/02_simple_crm
task_manager,"workflow_dag,observability_trace",True,99,,5636,0.001152,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/03_task_manager
expense_tracker,"rag_citations,guardrails_pii",True,99,,6284,0.001479,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/04_expense_tracker
inventory_tracker,"orchestrator_router,team_parallel",True,99,,9443,0.00165,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/05_inventory_tracker
appointment_booking,"typed_decorator_api,memory_isolation",True,99,,6379,0.001451,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/06_appointment_booking
lead_capture_app,"orchestrator_map_reduce,agent_tool_cost",True,99,,5970,0.00123,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/07_lead_capture_app
document_upload_extraction_portal,"rag_citations,memory_isolation",True,99,,10761,0.002398,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/08_document_upload_extraction_portal
mini_rag_assistant_api,"workflow_dag,rag_citations",True,99,,18018,0.005544,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/09_mini_rag_assistant_api
agent_workflow_dashboard,"guardrails_pii,observability_trace",True,99,,5740,0.001188,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/10_agent_workflow_dashboard
ai_security_gateway_website,"team_parallel,tool_policy_approval",True,99,,11025,0.002275,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/11_ai_security_gateway_website
resume_builder,"typed_decorator_api,workflow_dag",True,99,,6349,0.001409,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/12_resume_builder
hr_interview_scorer,"agent_tool_cost,guardrails_pii",True,99,,6124,0.001301,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/13_hr_interview_scorer
code_reviewer_fixer,"orchestrator_router,memory_isolation",True,99,,24178,0.005863,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/14_code_reviewer_fixer
ml_automation_baseline,"orchestrator_map_reduce,team_sequential",True,99,,10394,0.002062,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/15_ml_automation_baseline
video_social_pipeline,"rag_citations,observability_trace",True,99,,5882,0.001293,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/16_video_social_pipeline
jarvis_memory_planner_approval_core,"workflow_dag,tool_policy_approval",True,99,,5852,0.001182,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/17_jarvis_memory_planner_approval_core
fintech_kyc_nbfc_workflow,"typed_decorator_api,guardrails_pii",True,99,,6157,0.001291,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/18_fintech_kyc_nbfc_workflow
legaltech_rag_assistant,"team_parallel,memory_isolation",True,99,,5857,0.001261,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/19_legaltech_rag_assistant
dpdp_breach_response_workflow,"orchestrator_router,agent_tool_cost",True,99,,6007,0.001234,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/20_dpdp_breach_response_workflow
background_verification_portal,"rag_citations,tool_policy_approval",True,99,,10998,0.002358,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/21_background_verification_portal
trading_app_risk_disclaimer,"workflow_dag,team_sequential",True,99,,9107,0.001493,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/22_trading_app_risk_disclaimer
esign_document_approval_workflow,"typed_decorator_api,observability_trace",True,99,,7117,0.001757,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/23_esign_document_approval_workflow
hal_mosaic_ticket_domain_workflow,"orchestrator_map_reduce,guardrails_pii",True,99,,5662,0.001099,/home/questuser/Pictures/trash/agentic ai framework/largestack-agentic-ai-1.0.0-RECHECK-FIXED/release_evidence/final_95_plus/20260512-realfeatures24-final06/projects/24_hal_mosaic_ticket_domain_workflow
